u,v,length,from,to,geometry
610975955,1568231339,63.09370172,1568231339,610975955,"LINESTRING (100.353955 -0.9431261, 100.3545218 -0.9430981)"
610975955,706926167,164.4271489,706926167,610975955,"LINESTRING (100.3559981 -0.94301, 100.3545218 -0.9430981)"
610975955,1622095850,93.81654721,1622095850,610975955,"LINESTRING (100.354567 -0.9439406, 100.3545218 -0.9430981)"
610975960,6079960597,74.75110568,6079960597,610975960,"LINESTRING (100.3538487 -0.9325703, 100.3541174 -0.9329013, 100.3541825 -0.9329961, 100.3542567 -0.933104)"
610975960,1581569726,97.3870574,1581569726,610975960,"LINESTRING (100.3543953 -0.9339578, 100.3543764 -0.9338072, 100.3543373 -0.9332836, 100.3543326 -0.9332481, 100.3543165 -0.933208, 100.3542567 -0.933104)"
610975960,1576512087,29.35400444,1576512087,610975960,"LINESTRING (100.3545158 -0.9330851, 100.3543789 -0.9330731, 100.3543346 -0.9330785, 100.3542567 -0.933104)"
610975969,1540740773,6.546582479,1540740773,610975969,"LINESTRING (100.3759489 -0.943414, 100.3758931 -0.9434328)"
610975969,6093293794,59.51110265,6093293794,610975969,"LINESTRING (100.3760525 -0.9439437, 100.3760298 -0.9438683, 100.3760055 -0.9437873, 100.3758931 -0.9434328)"
610975969,1540753559,216.63909,1540753559,610975969,"LINESTRING (100.3740294 -0.944001, 100.3744323 -0.9438825, 100.374469 -0.9438714, 100.3747292 -0.9437917, 100.3747925 -0.9437711, 100.3749795 -0.943719, 100.3750218 -0.9437061, 100.375221 -0.9436448, 100.3753462 -0.9436042, 100.3754315 -0.9435769, 100.3758931 -0.9434328)"
611011080,2378739679,442.1332123,2378739679,611011080,"LINESTRING (100.416966 -1.0533677, 100.4169349 -1.0533825, 100.4167533 -1.053463, 100.4163621 -1.0536276, 100.4162655 -1.0536873, 100.4160127 -1.0538583, 100.4157807 -1.0540581, 100.4157331 -1.0540916, 100.4156882 -1.0541211, 100.4156325 -1.0541472, 100.4153234 -1.0542786, 100.4152577 -1.0543128, 100.4151933 -1.0543544, 100.4151564 -1.0543812, 100.4151303 -1.0544047, 100.4151041 -1.0544429, 100.4149861 -1.054642, 100.4149519 -1.0546843, 100.4149076 -1.0547252, 100.4148587 -1.0547493, 100.4146233 -1.0548539, 100.4144865 -1.0549008, 100.4144175 -1.0549263, 100.4143752 -1.0549357, 100.4143243 -1.0549377, 100.4142445 -1.0549317, 100.4140688 -1.0548948, 100.4138052 -1.0548237, 100.4137375 -1.0548123, 100.4136671 -1.0548009, 100.4135037 -1.0547876)"
