osmid,y,x,geometry,status,ETA
6076005793,-0.8942839,100.3470933,POINT (100.3470933 -0.8942839),intersection,59.1377405
6076061240,-0.9044139,100.3461968,POINT (100.3461968 -0.9044139),intersection,58.06330478
6076063211,-0.8926755,100.3507116,POINT (100.3507116 -0.8926755),intersection,59.29187367
6076066659,-0.8926554,100.3502463,POINT (100.3502463 -0.8926554),intersection,59.27194686
6076074337,-0.8855394,100.3512051,POINT (100.3512051 -0.8855394),intersection,59.38496427
6076074362,-0.8849234,100.3496455,POINT (100.3496455 -0.8849234),intersection,59.32369889
6076074363,-0.8866786,100.3513918,POINT (100.3513918 -0.8866786),intersection,59.3817216
6076074377,-0.8845608,100.350833,POINT (100.350833 -0.8845608),intersection,59.37980723
6076074898,-0.875445,100.3609787,POINT (100.3609787 -0.875445),intersection,58.92350183
6076085414,-0.9029126,100.3480329,POINT (100.3480329 -0.9029126),intersection,58.16027633
6076085415,-0.9037108,100.3472167,POINT (100.3472167 -0.9037108),intersection,58.11556621
6076132093,-0.8916225,100.35218,POINT (100.35218 -0.8916225),intersection,59.36898018
6076136843,-0.90336,100.3498667,POINT (100.3498667 -0.90336),intersection,58.23332069
6076136848,-0.9032031,100.3498158,POINT (100.3498158 -0.9032031),intersection,58.23305781
6076136849,-0.9031146,100.3500545,POINT (100.3500545 -0.9031146),intersection,58.24435988
6076147237,-0.8849878,100.3465623,POINT (100.3465623 -0.8849878),intersection,59.18766374
6076147238,-0.8865138,100.3452721,POINT (100.3452721 -0.8865138),intersection,59.11547917
6076147239,-0.8866107,100.3449755,POINT (100.3449755 -0.8866107),intersection,59.10138252
6076147245,-0.883726,100.3489333,POINT (100.3489333 -0.883726),intersection,58.29974041
6076147269,-0.8852829,100.3471296,POINT (100.3471296 -0.8852829),intersection,59.21013343
6076157323,-0.9008351,100.3573884,POINT (100.3573884 -0.9008351),intersection,58.58623787
6076157324,-0.9015778,100.3560552,POINT (100.3560552 -0.9015778),intersection,58.52007757
6076157326,-0.9018307,100.3557998,POINT (100.3557998 -0.9018307),intersection,58.50605313
