{'node_id': '701768577', 'longitude': 100.3854591, 'latitude': -0.8970619, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768594', 'longitude': 100.3859861, 'latitude': -0.895605, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768630', 'longitude': 100.3862756, 'latitude': -0.8951611, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768641', 'longitude': 100.3886021, 'latitude': -0.8949731, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768655', 'longitude': 100.3898544, 'latitude': -0.8942028, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768662', 'longitude': 100.389522, 'latitude': -0.894556, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768669', 'longitude': 100.3904857, 'latitude': -0.8934566, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768695', 'longitude': 100.3907329, 'latitude': -0.892426, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768714', 'longitude': 100.391838, 'latitude': -0.8918548, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768715', 'longitude': 100.3931138, 'latitude': -0.8997167, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768727', 'longitude': 100.3988912, 'latitude': -0.900498, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768734', 'longitude': 100.3996559, 'latitude': -0.9007995, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768747', 'longitude': 100.3948901, 'latitude': -0.8906226, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768867', 'longitude': 100.412081, 'latitude': -0.8931351, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768883', 'longitude': 100.4125963, 'latitude': -0.8940003, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768930', 'longitude': 100.4007934, 'latitude': -0.8895311, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768947', 'longitude': 100.403928, 'latitude': -0.8894351, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768963', 'longitude': 100.4048245, 'latitude': -0.889881, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768967', 'longitude': 100.4049576, 'latitude': -0.8895189, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768982', 'longitude': 100.4052252, 'latitude': -0.8872477, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705460997', 'longitude': 100.3729807, 'latitude': -0.8965052, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705460998', 'longitude': 100.3501387, 'latitude': -0.859621, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461001', 'longitude': 100.3692429, 'latitude': -0.8892159, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461016', 'longitude': 100.3793713, 'latitude': -0.8410252, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461042', 'longitude': 100.3616993, 'latitude': -0.8506079, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461074', 'longitude': 100.3823729, 'latitude': -0.8490378, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461084', 'longitude': 100.3610348, 'latitude': -0.8894799, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461085', 'longitude': 100.3645498, 'latitude': -0.9017313, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461097', 'longitude': 100.3737411, 'latitude': -0.8985005, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461110', 'longitude': 100.3603619, 'latitude': -0.8883131, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461111', 'longitude': 100.3907503, 'latitude': -0.8723702, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461115', 'longitude': 100.3861365, 'latitude': -0.852568, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461120', 'longitude': 100.3537908, 'latitude': -0.8553864, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461132', 'longitude': 100.3918835, 'latitude': -0.8641005, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461139', 'longitude': 100.3696123, 'latitude': -0.8887513, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461146', 'longitude': 100.3646675, 'latitude': -0.8484261, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461173', 'longitude': 100.3909368, 'latitude': -0.8704144, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461186', 'longitude': 100.3595864, 'latitude': -0.8849791, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461194', 'longitude': 100.3599733, 'latitude': -0.8885011, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461227', 'longitude': 100.3899418, 'latitude': -0.8583169, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461234', 'longitude': 100.3766351, 'latitude': -0.8412642, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461242', 'longitude': 100.3847837, 'latitude': -0.8517001, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461248', 'longitude': 100.3533939, 'latitude': -0.8563867, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461284', 'longitude': 100.359838, 'latitude': -0.8857103, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461286', 'longitude': 100.3519534, 'latitude': -0.8649223, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461321', 'longitude': 100.3906947, 'latitude': -0.8766035, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461330', 'longitude': 100.3824904, 'latitude': -0.8424491, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461342', 'longitude': 100.3655635, 'latitude': -0.8477578, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461348', 'longitude': 100.3929594, 'latitude': -0.8776676, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461353', 'longitude': 100.3932226, 'latitude': -0.8877395, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '705461364', 'longitude': 100.3594269, 'latitude': -0.8844521, 'status': 'intersection', 'name': nan, 'eta': nan}
