Processing edge (1610604789 -> 1638253309): alt=10.13, rst=33.06
Processing edge (1610691032 -> 1610690919): alt=11.93, rst=inf
Processing edge (1610691032 -> 1610691764): alt=10.10, rst=inf
Processing edge (1610604855 -> 1610604853): alt=10.02, rst=34.23
Processing edge (1588807322 -> 1588807242): alt=10.09, rst=32.91
Processing edge (1588807322 -> 1588807855): alt=9.95, rst=32.80
Processing edge (1605653980 -> 1587365407): alt=13.40, rst=33.14
Processing edge (1605653980 -> 1605653978): alt=10.09, rst=inf
Processing edge (1438785975 -> 1387990374): alt=11.46, rst=32.63
Processing edge (1438785975 -> 1438785909): alt=10.84, rst=32.05
Processing edge (1610604866 -> 6079951874): alt=10.12, rst=32.57
Processing edge (1610604866 -> 1610604892): alt=9.86, rst=32.51
Processing edge (1438785980 -> 1438785953): alt=10.06, rst=31.48
Processing edge (1438785980 -> 6080271653): alt=10.15, rst=31.62
Processing edge (1588807855 -> 1587365537): alt=10.82, rst=32.46
Processing edge (6093221039 -> 1610693299): alt=10.51, rst=inf
Processing edge (6093220129 -> 1610690552): alt=10.88, rst=36.60
Processing edge (6093220129 -> 1643334970): alt=14.37, rst=36.01
Processing edge (1638253112 -> 6082568280): alt=10.78, rst=32.87
Processing edge (1638253112 -> 1638253343): alt=11.12, rst=32.56
Processing edge (1638253112 -> 6080465161): alt=12.86, rst=32.92
Processing edge (1587365536 -> 1587365537): alt=10.65, rst=32.46
Processing edge (6079948357 -> 4365734248): alt=10.74, rst=33.72
Processing edge (6079948357 -> 6079949936): alt=11.57, rst=33.50
Processing edge (1610604853 -> 1610604847): alt=10.29, rst=34.35
Processing edge (1610604853 -> 13893791673): alt=12.83, rst=34.81
Processing edge (1438785953 -> 6080271662): alt=10.43, rst=31.41
Processing edge (1438785953 -> 6079835575): alt=10.57, rst=31.54
Processing edge (1588807242 -> 1587365530): alt=11.87, rst=32.67
Processing edge (1588807242 -> 1588807162): alt=10.85, rst=inf
Processing edge (1605653978 -> 1587365345): alt=14.15, rst=33.38
Processing edge (1605653978 -> 1605653975): alt=10.89, rst=inf
Processing edge (1610691764 -> 1610691463): alt=12.78, rst=inf
Processing edge (1610691764 -> 1610693056): alt=10.83, rst=inf
Processing edge (6080271652 -> 1438785965): alt=12.00, rst=32.07
Processing edge (6080271652 -> 6080271653): alt=10.89, rst=31.62
Processing edge (1638253309 -> 1638253125): alt=12.12, rst=32.46
Processing edge (1638253309 -> 6079950239): alt=10.67, rst=33.13
Processing edge (6080271653 -> 1438785972): alt=12.09, rst=31.98
