longitude,latitude
100.34717221722173,-0.9665841584158482
100.34709720972096,-0.9663591359135848
100.34694719471948,-0.9659090909090959
100.34687218721872,-0.9657590759075964
100.34687218721872,-0.9656840684068388
100.34687218721872,-0.9656090609060841
100.34687218721872,-0.965534053405348
100.34687218721872,-0.9654590459045982
100.34687218721872,-0.9653840384038331
100.34687218721872,-0.9651590159015864
100.34687218721872,-0.9650840084008475
100.34687218721872,-0.9650090009000942
100.34687218721872,-0.9649339933993433
100.34694719471948,-0.9648589858985976
100.34702220222023,-0.9647839783978346
100.34709720972096,-0.96470897089709
100.34724722472248,-0.9644839483948416
100.34732223222322,-0.9644089408940852
100.34739723972396,-0.9643339333933311
100.34747224722472,-0.9642589258925967
100.34769726972698,-0.964108910891083
100.34777227722772,-0.9640339033903453
100.34792229222924,-0.9639588958895816
100.34799729972995,-0.9639588958895889
100.34807230723072,-0.9639588958895822
100.34814731473148,-0.9639588958895957
100.34822232223222,-0.9639588958895955
100.34859735973598,-0.9638838883888452
100.34889738973898,-0.9638088808880876
100.34919741974196,-0.9637338733873317
100.34949744974496,-0.9636588658865839
100.34964746474648,-0.963583858385844
100.34972247224722,-0.9635838583858369
100.34979747974798,-0.9635838583858335
100.34987248724872,-0.9635838583858337
100.35002250225024,-0.9636588658865892
100.35009750975098,-0.9637338733873398
100.35017251725172,-0.9638088808880888
100.35039753975396,-0.9639588958895878
100.35159765976597,-0.9638838883888432
100.35167266726674,-0.9638088808880813
100.35182268226822,-0.9636588658865964
100.35189768976898,-0.9635838583858405
100.35212271227122,-0.963208820882086
100.35227272727272,-0.9629837983798304
100.35234773477347,-0.9629087908790931
100.35257275727572,-0.9624587458745918
100.35264776477649,-0.9623087308730891
100.35272277227725,-0.9619336933693422
100.35272277227725,-0.9618586858685946
100.35279777977796,-0.9616336633663395
100.35287278727871,-0.9614836483648298
100.35294779477948,-0.9611086108610836
100.35294779477948,-0.9610336033603372
100.35294779477948,-0.9609585958595935
100.35294779477948,-0.9608835883588356
100.35294779477948,-0.9608085808580796
100.35294779477948,-0.9607335733573436
100.35294779477948,-0.9606585658565928
100.35294779477948,-0.9605835583558278
100.35294779477948,-0.9605085508550821
100.35294779477948,-0.9604335433543387
100.35302280228022,-0.9599834983498301
100.35302280228022,-0.9599084908490789
100.35302280228022,-0.959833483348331
100.35302280228022,-0.9597584758475851
100.35302280228022,-0.9596834683468417
100.35302280228022,-0.959233423342334
100.35302280228022,-0.9591584158415916
100.35302280228022,-0.9590834083408346
100.35309780978098,-0.9587083708370787
100.35309780978098,-0.958633363336329
100.35309780978098,-0.9585583558355821
100.35302280228022,-0.9581833183318337
100.35309780978098,-0.9578832883288385
100.35309780978098,-0.9574332433243296
100.35309780978098,-0.9573582358235895
100.35309780978098,-0.9572832283228357
100.35309780978098,-0.957208220822085
100.35302280228022,-0.9568331833183269
100.35302280228022,-0.9567581758175825
100.35302280228022,-0.956383138313832
100.35294779477948,-0.9561581158115849
100.35294779477948,-0.9560831083108388
100.35279777977796,-0.9555580558055837
100.35279777977796,-0.9550330033003267
100.35279777977796,-0.9549579957995865
100.35279777977796,-0.9548829882988323
100.35279777977796,-0.9548079807980804
100.35279777977796,-0.9547329732973314
100.35279777977796,-0.9546579657965848
100.35279777977796,-0.9545829582958245
100.35279777977796,-0.9545079507950831
100.35272277227725,-0.9541329132913278
100.35264776477649,-0.9539828982898289
100.35257275727572,-0.9536078607860706
100.35257275727572,-0.9535328532853234
100.35257275727572,-0.953457845784579
100.35257275727572,-0.9533828382838201
100.35249774977498,-0.952932793279322
100.35249774977498,-0.9528577857785743
100.35242274227424,-0.9524827482748341
100.35227272727272,-0.9521827182718312
100.35219771977198,-0.9518826882688254
100.35212271227122,-0.951657665766584
100.35212271227122,-0.9515826582658294
100.35212271227122,-0.9515076507650773
100.35204770477048,-0.9511326132613185
100.35197269726973,-0.9509075907590803
100.35197269726973,-0.9508325832583228
100.35197269726973,-0.9505325532553193
100.35189768976898,-0.9502325232523225
100.35189768976898,-0.9501575157515832
100.35189768976898,-0.9500825082508301
100.35189768976898,-0.9500075007500793
100.35189768976898,-0.9498574857485701
100.35189768976898,-0.949782478247828
100.35189768976898,-0.9497074707470723
100.35189768976898,-0.9496324632463186
100.35182268226822,-0.9492574257425808
100.35174767476748,-0.9488823882388258
100.35174767476748,-0.9488073807380738
100.35174767476748,-0.9487323732373244
100.35182268226822,-0.9483573357335693
100.35182268226822,-0.9482823282328275
100.35182268226822,-0.9482073207320711
100.35182268226822,-0.948132313231318
100.35182268226822,-0.9480573057305675
100.35182268226822,-0.94798229822982
100.35182268226822,-0.9479072907290756
100.35174767476748,-0.9475322532253265
100.35174767476748,-0.947457245724576
100.35174767476748,-0.9473822382238284
100.35174767476748,-0.9473072307230667
100.35174767476748,-0.9472322232223253
100.35174767476748,-0.9471572157215693
100.35174767476748,-0.9470822082208161
100.35174767476748,-0.9470072007200666
100.35174767476748,-0.9469321932193195
100.35174767476748,-0.9468571857185758
100.35174767476748,-0.9467821782178176
100.35167266726674,-0.9464071407140715
100.35159765976597,-0.9461821182118199
100.35159765976597,-0.9461071107110758
100.35159765976597,-0.9460321032103177
100.35152265226525,-0.9456570657065756
100.35152265226525,-0.9455820582058123
100.35152265226525,-0.9455070507050685
100.35144764476448,-0.9451320132013243
100.35144764476448,-0.9450570057005759
100.35144764476448,-0.9449819981998134
100.35144764476448,-0.9449069906990708
100.35144764476448,-0.9448319831983139
100.35144764476448,-0.9447569756975772
100.35144764476448,-0.9446819681968269
100.35137263726372,-0.9443069306930693
100.35137263726372,-0.9442319231923137
100.35137263726372,-0.9441569156915619
100.35137263726372,-0.944081908190813
100.35137263726372,-0.9440069006900662
100.35137263726372,-0.943856885688566
100.35137263726372,-0.9437818781878119
100.35137263726372,-0.9437068706870609
100.35137263726372,-0.9436318631863133
100.35137263726372,-0.9435568556855679
100.35137263726372,-0.9434818481848265
100.35137263726372,-0.9434068406840705
100.35137263726372,-0.9433318331833179
100.35137263726372,-0.9432568256825684
100.35137263726372,-0.943181818181822
100.35137263726372,-0.9431068106810615
100.35137263726372,-0.9430318031803209
100.35137263726372,-0.9429567956795665
100.35137263726372,-0.9428817881788155
100.35137263726372,-0.9428067806780673
100.35137263726372,-0.9427317731773224
100.35137263726372,-0.9426567656765632
100.35137263726372,-0.9425817581758243
100.35129762976298,-0.9422067206720671
100.35129762976298,-0.9421317131713242
100.35129762976298,-0.9420567056705668
100.35129762976298,-0.9419816981698133
100.35129762976298,-0.9419066906690624
100.35129762976298,-0.9418316831683151
100.35129762976298,-0.9417566756675703
100.35129762976298,-0.941681668166812
100.35129762976298,-0.9416066606660737
100.35129762976298,-0.9415316531653213
100.35129762976298,-0.9414566456645721
100.35122262226224,-0.9410816081608216
100.35114761476147,-0.9408565856585633
100.35114761476147,-0.940781578157814
100.35114761476147,-0.940706570657068
100.35114761476147,-0.9406315631563082
100.35114761476147,-0.9405565556555683
100.35114761476147,-0.9404815481548151
100.35114761476147,-0.9401065106510609
100.35114761476147,-0.9400315031503097
100.35114761476147,-0.9399564956495611
100.35107260726072,-0.9395814581458084
100.35107260726072,-0.9395064506450567
100.35107260726072,-0.9394314431443083
100.35107260726072,-0.9393564356435631
100.35107260726072,-0.939281428142821
100.35107260726072,-0.9391314131413125
100.35099759975999,-0.938831383138318
100.35099759975999,-0.9381563156315692
100.35092259225922,-0.9377812781278082
100.35084758475848,-0.9374812481248193
100.35077257725771,-0.9373312331233076
100.35077257725771,-0.9372562256225637
100.35077257725771,-0.937181218121807
100.35077257725771,-0.9371062106210696
100.35062256225622,-0.9365811581158188
100.35062256225622,-0.9358310831083064
100.35054755475548,-0.9351560156015529
100.35054755475548,-0.9350810081008059
100.35054755475548,-0.9345559555955533
100.35039753975396,-0.934255925592559
100.35032253225324,-0.9339558955895628
100.35024752475248,-0.93373087308731
100.35017251725172,-0.9335058505850506
100.35009750975098,-0.9332808280828039
100.35002250225024,-0.9330558055805546
100.34994749474949,-0.9329057905790652
100.34987248724872,-0.9326057605760497
100.34979747974798,-0.9323807380738147
100.34919741974196,-0.9318556855685625
100.34912241224124,-0.931780678067811
100.34904740474047,-0.9317056705670494
100.34897239723972,-0.931480648064806
100.34889738973898,-0.931330633063301
100.34889738973898,-0.9312556255625575
100.34889738973898,-0.9311806180618006
100.34889738973898,-0.9311056105610643
100.34889738973898,-0.9310306030603142
100.34972247224722,-0.9300555055505532
100.34964746474648,-0.929755475547556
100.34957245724571,-0.92953045304531
100.34957245724571,-0.9294554455445515
100.34957245724571,-0.9293804380437972
100.34957245724571,-0.9293054305430627
100.34957245724571,-0.9292304230422979
100.34957245724571,-0.9291554155415535
100.34957245724571,-0.929080408040796
100.34957245724571,-0.9290054005400582
100.34957245724571,-0.9289303930393079
100.34957245724571,-0.9288553855385607
100.34957245724571,-0.9287803780378002
100.34957245724571,-0.9287053705370599
100.34957245724571,-0.9286303630363064
100.34957245724571,-0.9285553555355566
100.34957245724571,-0.9284803480348098
100.34957245724571,-0.9284053405340499
100.34957245724571,-0.9283303330333108
100.34957245724571,-0.9282553255325581
100.34957245724571,-0.9281803180318087
100.34957245724571,-0.9281053105310462
100.34957245724571,-0.9280303030303038
100.34957245724571,-0.9279552955295485
100.34957245724571,-0.9278802880287966
100.34964746474648,-0.9275052505250587
100.34964746474648,-0.927430243024297
100.34964746474648,-0.9273552355235561
100.34964746474648,-0.9272802280228016
100.34964746474648,-0.9272052205220512
100.34964746474648,-0.9271302130213035
100.34964746474648,-0.9270552055205599
100.34964746474648,-0.9269801980198031
100.34964746474648,-0.92690519051905
100.34957245724571,-0.9265301530152965
100.34957245724571,-0.926455145514545
100.34957245724571,-0.9263801380137971
100.34979747974798,-0.9256300630063051
100.34979747974798,-0.9255550555055548
100.34979747974798,-0.9254800480048088
100.34979747974798,-0.925405040504049
100.34972247224722,-0.9248049804980576
100.34972247224722,-0.9247299729972943
100.34972247224722,-0.9246549654965509
